ReefID,LABEL_ID,GBRMPAFeatureName,LAT,LON,GBRMP,Within250kmOfPort,Shallow,ShallowestDepth
1,10-330,U/N Reef,-10.7795,142.5916,1,1,1,0.980000019
2,10-331,Harrington Shoal,-10.7966,142.7106,1,1,1,-8
3,10-332,U/N Reef,-10.8243,142.5736,1,1,1,-0.674000025
4,10-333,U/N Reef,-10.8354,142.5766,1,1,1,-0.721000016
5,10-334,Four Fathom Patches,-10.8199,142.6871,1,1,0,-10.89799976
6,10-335,Harrington Reef,-10.8213,142.7231,1,1,1,-0.360000014
7,10-336,Wyborn Reef,-10.821,142.7622,1,1,1,0.316000015
8,10-337,U/N Reef,-10.8079,142.9288,1,1,1,-0.414000005
9,10-338,Womer Reef,-10.7999,142.9836,1,1,1,0.321999997
10,10-339,Brewis Reef,-10.887,142.6933,1,1,1,0.940999985
11,10-340,Turtle Island Reef,-10.8899,142.6963,1,1,1,1.024999976
12,10-341,Shortland Reef,-10.9013,142.7727,1,1,1,0.030999999
13,10-342,Trochus Reef,-10.9214,142.6311,1,1,1,0.131999999
14,10-299,U/N Reef,-10.7754,143.0896,1,1,1,-0.588
15,10-316,Tree Reef,-10.7043,142.597,1,1,1,0.476999998
16,10-317,Brush Islet Reef,-10.709,142.5979,1,1,1,-0.136999995
17,10-318a,Albany Island Reef (No 1),-10.7153,142.593,1,1,1,-0.001
18,10-318b,Albany Island Reef (No 2),-10.7283,142.6178,1,1,1,0.59799999
19,10-318c,Albany Island Reef (No 3),-10.7466,142.6233,1,1,1,-0.007
20,10-318d,Albany Island Reef (No 4),-10.7389,142.6049,1,1,1,0.144999996
21,10-320,Mai Reef,-10.7245,142.6248,1,1,1,0.400000006
22,10-321,Albany Rock Reef,-10.7189,142.6299,1,1,1,0.476000011
23,10-322,North Brother Reef,-10.7008,142.6732,1,1,NA,NA
24,10-323,Middle Brother Reef,-10.7119,142.6854,1,1,1,-0.214000002
25,10-324,South Brother Reef,-10.7167,142.6918,1,1,1,-1.143000007
26,10-325,North Ledge,-10.6803,142.7383,1,1,1,-0.01
27,10-326,Meggi-Damun Reef,-10.6825,142.7861,1,1,1,-0.068999998
28,10-327,South Ledge,-10.7053,142.7323,1,1,1,0.381000012
29,10-328,Ulfa Reef,-10.7578,142.6143,1,1,1,-0.041000001
30,10-329,Ariel Bank,-10.7708,142.6252,1,1,1,0.764999986
31,10-401,U/N Reef,-10.8032,143.8008,1,1,1,-1.149999976
32,10-402,U/N Reef,-10.8055,144.0066,1,1,1,-0.226999998
33,10-403,U/N Reef,-10.8237,143.9961,1,1,1,-1.090999961
34,10-404,U/N Reef,-10.8251,143.8238,1,1,1,-0.289999992
35,10-405,U/N Reef,-10.8462,143.7581,1,1,0,-11.95400047
36,10-406,U/N Reef,-10.8449,144.0145,1,1,1,-0.059
37,10-407a,U/N Reef,-10.8661,143.9845,1,1,1,-1.325000048
38,10-343a,Turtle Head Island Reef (No 1),-10.9369,142.7059,1,1,1,0.138999999
39,10-343b,Turtle Head Island Reef (No 2),-10.9475,142.7062,1,1,1,0.648999989
40,10-344,Tern Reef,-10.99,142.7664,1,1,1,-4.059999943
41,10-348,U/N Reef,-10.6836,143.2521,1,1,1,-6.668000221
42,10-349,U/N Reef,-10.6971,143.4338,1,1,1,-0.742999971
43,10-350,U/N Reef,-10.6966,143.4663,1,1,1,-0.944000006
44,10-351,U/N Reef,-10.7318,143.1903,1,1,1,0.064999998
45,10-352,U/N Reef,-10.7347,143.3368,1,1,1,-0.630999982
46,10-353,U/N Reef,-10.7519,143.0937,1,1,1,-0.407999992
47,10-354,U/N Reef,-10.7523,143.3718,1,1,1,-9.347000122
48,10-355,U/N Reef,-10.7568,143.3243,1,1,1,-0.924000025
49,10-356,U/N Reef,-10.7762,143.412,1,1,1,-0.605000019
50,10-357,U/N Reef,-10.8058,143.3534,1,1,1,-1.146999955
51,10-358,U/N Reef,-10.8378,143.3357,1,1,1,-0.61500001
52,10-359,U/N Reef,-10.9405,143.4596,1,1,1,-6.512000084
53,10-360,U/N Reef,-10.8391,143.2982,1,1,1,-1.692999959
54,10-361,U/N Reef,-10.849,143.4038,1,1,1,-1.394999981
55,10-362,U/N Reef,-10.853,143.239,1,1,1,-1.194000006
56,10-363,U/N Reef,-10.895,143.2402,1,1,1,-5.551000118
57,10-364,U/N Reef,-10.8976,143.21,1,1,1,-1.075999975
58,10-365,Linda Reef,-10.9066,143.1778,1,1,1,-0.028999999
59,10-366,U/N Reef,-10.9039,143.2898,1,1,1,-7.066999912
60,10-367,U/N Reef,-10.9055,143.3829,1,1,1,-1.026000023
61,10-368,U/N Reef,-10.9151,143.3141,1,1,1,-0.884000003
62,10-369,U/N Reef,-10.9318,143.2959,1,1,1,-5.229000092
63,10-370,U/N Reef,-10.9325,143.2183,1,1,1,-6.184999943
64,10-371,U/N Reef,-10.9469,143.2423,1,1,1,0.079999998
65,10-372,U/N Reef,-10.9503,143.1571,1,1,1,-1.503000021
66,10-373,U/N Reef,-10.952,143.1301,1,1,1,-0.84799999
67,10-374,U/N Reef,-10.9392,143.3598,1,1,1,-5.696000099
68,10-375a,U/N Reef,-10.9637,143.3997,1,1,1,-5.137000084
69,10-375b,U/N Reef,-10.9676,143.4256,1,1,1,-6.683000088
70,10-376,U/N Reef,-10.9866,143.1255,1,1,1,-0.716000021
71,10-378,U/N Reef,-10.9059,143.5107,1,1,0,-11.47799969
72,10-381,U/N Reef,-10.6879,143.9645,1,1,1,-0.564999998
73,10-382,U/N Reef,-10.7029,143.7871,1,1,1,-0.852999985
74,10-384,U/N Reef,-10.7097,143.9638,1,1,1,0.140000001
75,10-385,U/N Reef,-10.725,143.9587,1,1,1,-1.180999994
76,10-386,U/N Reef,-10.7232,143.9796,1,1,1,-0.474999994
77,10-387,U/N Reef,-10.6933,143.521,1,1,1,-0.67900002
78,10-389,U/N Reef,-10.7344,143.9648,1,1,1,-1.256999969
79,10-390,U/N Reef,-10.7404,143.9733,1,1,1,-0.921999991
80,10-391,Triangle Reef,-10.7554,143.9823,1,1,1,0.296000004
81,10-392,U/N Reef,-10.742,143.6065,1,1,1,-0.49000001
82,10-393,U/N Reef,-10.7423,143.7443,1,1,1,-9.81000042
83,10-394,U/N Reef,-10.7697,143.5057,1,1,1,-0.293000013
84,10-395,U/N Reef,-10.7893,143.6909,1,1,1,-8.494999886
85,10-396,U/N Reef,-10.7703,143.7166,1,1,NA,NA
